ID,nothing,really,Name
uk_a_13_mk2_1939,0,0,A13 Mk.II 1939
uk_17_pdr_m10_achilles_norfolk_yeomanry,0,0,Achilles 65 Rg.
ussr_bm_13n,0,0,BM-13N
germ_pzkpfw_e_100,0,0,E-100
uk_a_33_excelsior,0,0,Excelsior
us_mk1_grant,0,0,Grant I
uk_mk1_grant,0,0,Grant I
uk_a_34_comet_iron_duke,0,0,Iron Duke IV
ussr_is_2_1944_revenge,0,0,IS-2 Revenge
ussr_kv_122,0,0,KV-122
germ_kv_1B_finland,0,0,KV-1B
ussr_kv_2_1940,0,0,KV-2 1940
ussr_kv_220,0,0,KV-220
us_lvt_4_zis_2,0,0,LVT(A)(4) Zis-2
us_m24_chaffee_tl,0,0,M24 TL
ussr_m3c,0,0,M3 Middle
us_m3a1_stuart_usmc,0,0,M3A1 (USMC)
us_m4a2_1944_germ,0,0,M4 748 (a)
us_m5a1_stuart_canadian_5st_arm,0,0,M5A1 5th arm.div.
us_m8a1,0,0,M8A1
ussr_a_12_mk_2_matilda_2A_F96,0,0,Matilda Mk.2
germ_pzkpfw_II_ausf_H,0,0,Pz.II H
ussr_rbt_5,0,0,RBT-5
germ_sdkfz_234_4,0,0,Sd.Kfz.234/4
ussr_su_76m_5st_kav_corps,0,0,SU-76M 5st.Kav.Corps
ussr_t_26E,0,0,T-26E
ussr_t_34_1940_l_11,0,0,T-34 prototype
ussr_t_34E,0,0,T-34E
ussr_pzkpfw_V,0,0,T-V
ussr_type_65_aa,0,0,Type 65
ussr_type_62,0,0,Type-62
germ_pzkpfw_VI_tiger_P,0,0,VK 4501 P
