ID,Research,Lion,Country,Name
a-20g,9200,22000,0,A-20G-25
a-26b,75000,250000,0,A-26B-50
a-26b_10,75000,250000,0,A-26B-10
a5m4,4000,2100,4,A5M4
a6m2_mod11,11000,38000,4,A6M2 mod. 11
a6m2_n_zero,7900,10000,4,A6M2-N
a6m2_zero,14000,55000,4,A6M2
a6m3_mod22_zero,26000,100000,4,A6M3 mod. 22
a6m3_mod22ko_zero,36000,140000,4,A6M3 mod. 22Ko
a6m3_zero,18000,77000,4,A6M3
a6m5_zero,50000,190000,4,A6M5
a6m5otsu,70000,230000,4,A6M5 otsu
a7m2,70000,230000,4,A7M2
ar_2,9200,22000,2,Ar-2
arado-234,120000,610000,1,Ar 234 B-2
arado-234c-3,130000,690000,1,Ar 234 C-3
attaker_fb1,130000,690000,3,Attacker FB 1
b_18a,5900,6300,0,B-18A
b_24d,85000,310000,0,B-24D-25-CO
b_25j_1,14000,55000,0,B-25J-1
b_25j_20,26000,100000,0,B-25J-20
b_34,7900,10000,0,B-34
b-17e,50000,190000,0,B-17E
b-17e_late,70000,230000,0,B-17E/L
b-17g,80000,300000,0,B-17G-60-VE
b-29,90000,360000,0,B-29A-BN
b-57,120000,610000,0,B-57A
b-57b,200000,790000,0,B-57B
b5n2,7900,10000,4,B5N2
b7a2,26000,100000,4,B7A2
ba_65_k14_l,0,0,5,Ba.65 (K.14) L
bb-1,4000,2100,2,BB-1
beaufighter_mk21,50000,190000,3,Beaufighter Mk 21
beaufighter_mk6c,9200,77000,3,Beaufighter Mk VIc
beaufighter_mkx,18000,22000,3,Beaufighter Mk X
beaufort_mkviii,5900,6300,3,Beaufort Mk VIII
bf-109b_2,7900,10000,1,Bf 109 B-1/L
bf-109e-1,7900,10000,1,Bf 109 E-1
bf-109e-3,9200,22000,1,Bf 109 E-3
bf-109e-4,9200,22000,1,Bf 109 E-4
bf-109f-1,11000,38000,1,Bf 109 F-1
bf-109f-2,14000,55000,1,Bf 109 F-2
bf-109f-4,18000,77000,1,Bf 109 F-4
bf-109f-4_trop,18000,77000,1,Bf 109 F-4/trop
bf-109g-10,80000,300000,1,Bf 109 G-10
bf-109g-14,75000,250000,1,Bf 109 G-14
bf-109g-14as,75000,250000,5,Bf.109G-14/AS
bf-109g-2,36000,140000,1,Bf 109 G-2/trop
bf-109g-6,70000,230000,1,Bf 109 G-6
bf-109k-4,90000,360000,1,Bf 109 K-4
bf-110c-4,5900,6300,1,Bf 110 C-4
blenheim_mkiv,4000,2100,3,Blenheim Mk IV
br_20_dr,4000,2100,5,BR.20 DR
breda_88,7900,10000,5,Breda 88 (P.XI)
brigand_b1,75000,250000,3,Brigand B.1
canberra_bimk6,200000,790000,3,Canberra B (I) Mk. 6
canberra_bmk2,120000,610000,3,Canberra B Mk. 2
cr_32,0,0,5,CR.32
cr_32_quater,0,0,5,CR.32 quater
d3a1,4000,2100,4,D3A1
d4y2,14000,55000,4,D4Y2
d4y3,18000,77000,4,D4Y3
db_3b,9200,22000,2,DB-3B
do_17e_1,2900,700,1,Do 17 E-1
do_17z_2,4000,2100,1,Do 17 Z-2
do_17z_7,4000,2100,1,Do 17 Z-7
do_217e_2,50000,190000,1,Do 217 E-2
do_217e_4,70000,230000,1,Do 217 E-4
do_217j_1,11000,38000,1,Do 217 J-1
do_217j_2,14000,55000,1,Do 217 J-2
do_217k_1,75000,250000,1,Do 217 K-1
do_217m_1,80000,300000,1,Do 217 M-1
do_217n_1,18000,77000,1,Do 217 N-1
do_217n_2,26000,100000,1,Do 217 N-2
do_335a_0,80000,300000,1,Do.335A-0
do_335a_1,80000,300000,1,Do.335A-1
douglas_ad_2,85000,310000,0,AD-2
er-2_ach30b_early,80000,300000,2,Yer-2 ACh-30B/E
er-2_ach30b_late,80000,300000,2,Yer-2 ACh-30B/L
er-2_m105_mv3,26000,100000,2,Yer-2 M-105
er-2_m105r_lu2b,36000,140000,2,Yer-2 M-105R LU
f1m2,2900,700,4,F1M2
f2a-1,5900,6300,0,F2A-1
f2a-3,5900,6300,0,F2A-3
f2h-2,120000,610000,0,F2H-2
f3f-2,4000,2100,0,F3F-2
f4f-3,7900,10000,0,F4F-3
f4f-4,9200,22000,0,F4F-4
f4u-1a,11000,38000,0,F4U-1a
f4u-1a_usmc,14000,55000,0,F4U-1a USMC
f4u-1c,50000,190000,0,F4U-1c
f4u-1d,18000,77000,0,F4U-1d
f4u-4,75000,250000,0,F4U-4
f4u-4b,80000,300000,0,F4U-4B
f6f-3,14000,55000,0,F6F-3
f6f-5n,50000,190000,0,F6F-5N
f7f1,90000,360000,0,F7F-1
f-80,130000,690000,0,F-80C-10
f-80a,120000,610000,0,P-80A-5
f-82e,80000,300000,0,F-82E
f-84b,130000,690000,0,F-84B-26
f-84g_italy,200000,790000,5,F-84G-21-RE
f-86_canadair_german,380000,990000,1,CL-13A Sabre Mk.5
f-86a-5,200000,1330000,0,F-86A-5 Sabre
f-86f-2,380000,1750000,0,F-86F-2 Sabre
f-86f-25,380000,1470000,0,F-86F-25 Sabre
f-86f-30_japan,380000,1970000,4,F-86F-30 Sabre
f8f1,80000,300000,0,F8F-1
f8f1b,90000,360000,0,F8F-1B
f9f-2,130000,790000,0,F9F-2
f9f-5,200000,990000,0,F9F-5
f9f-8,380000,990000,0,F9F-8
fiat_cr42_italy,2900,700,5,CR.42
fiat_g50_seria2_italy,4000,2100,5,G.50 Serie 2
fiat_g50_seria7as_italy,4000,2100,5,G.50 AS Serie 7
fiat_g91_ps,200000,790000,5,G.91 pre-serie
fiat_g91_r1,200000,790000,5,G.91 R/1
firebrand_tf4,50000,190000,3,Firebrand TF Mk IV
firefly_mk1,18000,77000,3,Firefly F Mk.I
firefly_mk5,36000,140000,3,Firefly FR Mk V
fury_mk1,0,0,3,Fury Mk I
fury_mk2,0,0,3,Fury Mk II
fw_200c_1,18000,77000,1,Fw 200 C-1
fw-190a-1,14000,55000,1,Fw 190 A-1
fw-190a-4,18000,77000,1,Fw 190 A-4
fw-190a-5,36000,140000,1,Fw 190 A-5/U2
fw-190a-5_cannons,50000,190000,1,Fw 190 A-5
fw-190a-5_u2,70000,230000,1,Fw.190A-5/U2
fw-190a-8,75000,250000,1,Fw 190 A-8
fw-190d-12,85000,310000,1,Fw 190 D-12
fw-190d-9,80000,300000,1,Fw 190 D-9
fw-190f-8,75000,250000,1,Fw 190 F-8
g_55_serie1,50000,190000,5,G.55 Serie 1
g_55_serie1_ss0,36000,140000,5,G.55 Sottoserie 0
g_56,80000,300000,5,G.56
g4m1,11000,38000,4,G4M1
g5n1,75000,250000,4,G5N1
g8n1,85000,310000,4,G8N1
gladiator_mk2,2900,700,3,Gladiator Mk II
gladiator_mk2_navy,4000,2100,3,Sea Gladiator Mk.I
go229_v3,120000,610000,1,Ho 229 V3
h6k4,5900,6300,4,H6K4
h8k2,40000,10000,4,H8K2
halifax_mk3,26000,100000,3,Halifax B.Mk.IIIa
he_100d_1,7900,10000,1,He.100D-1
he_112a_0,5900,6300,1,He 112 A-0
he_112b_0,5900,6300,1,He 112 B-0
he_112v_5,4000,2100,1,He 112 V-5
he-111h-16_winter,36000,140000,1,He 111 H-16
he-111h-2,5900,6300,1,He 111 H-3
he-111h-6,14000,55000,1,He 111 H-6
he-162a-2,120000,610000,1,He 162 A-2
he51a1,0,0,1,He 51 A-1
he51b1,0,0,1,He 51 B-1
he51c1,0,0,1,He 51 C-1
hornet_mk3,80000,300000,3,Hornet Mk.III
hp52_hampden_mk1_late,4000,2100,3,Hampden Mk.I
hp52_hampden_tbmk1,4000,2100,3,Hampden TB Mk.I
hs-123a-1,2900,700,1,Hs 123 A-1
hs-129b-2,26000,100000,1,Hs 129B-2
hs-129b-3,36000,140000,1,Hs.129B-3
hunter_f1,380000,990000,3,Hunter F 1
hurricane_mk1,4000,2100,3,Hurricane Mk I/L
hurricane_mk1b,7900,10000,3,Sea Hurricane Mk.IB
hurricane_mk1c,9200,22000,3,Sea Hurricane Mk.I
hurricane_mk4,9200,22000,3,Hurricane Mk IV
hurricanemkii,7900,10000,3,Hurricane Mk IIB
i_185_m71_standard,75000,250000,2,I-185 (M-71)
i_185_m82,26000,100000,2,I-185 (M-82)
i-15_1934,0,0,2,I-15 WR
i-15_1935,0,0,2,I-15 M-22
i-15_1935_moscow,0,0,2,I-15R
i-153_m62,2900,700,2,I-153 M-62
i-15bis,2900,700,2,I-15bis
i-16_type10,5900,6300,2,I-16 type 10
i-16_type18,5900,6300,2,I-16 type 18
i-16_type24,5900,6300,2,I-16 type 24
i-16_type27,14000,55000,2,I-16 type 27
i-16_type5,4000,2100,2,I-16 type 5
il_2_1941,7900,10000,2,IL-2 (1941)
il_2_37_1943,18000,77000,2,IL-2-37
il_28,130000,690000,2,IL-28
il_2m_1943,18000,77000,2,IL-2M (1943)
il-10,70000,230000,2,IL-10
il-10_1946,80000,300000,2,IL-10 (1946)
il-2i,7900,10000,2,IL-2 (1942)
il-2m,26000,100000,2,IL-2M type 3
il-4,11000,38000,2,IL-4
j1n1_mod11_early,5900,6300,4,J1N1
j2m2,14000,55000,4,J2M2
j2m3,75000,250000,4,J2M3
j2m5,80000,300000,4,J2M5
j7w1,90000,360000,4,J7W1
j8m1,200000,610000,4,Ki-200
ju-87b-2,4000,2100,1,Ju 87 B-2
ju-87d-3,9200,22000,1,Ju 87 D-3
ju-87d-5,11000,38000,1,Ju 87D-5
ju-87g_1,14000,55000,1,Ju 87G-1
ju-87g_2,18000,77000,1,Ju 87 G-2
ju-87r-2,5900,6300,1,Ju 87 R-2
ju-88a-1,9200,22000,1,Ju 88 A-1
ju-88a-4,9200,22000,1,Ju 88 A-4
ju-88c-6,7900,10000,1,Ju.88C-6
ki_10_1,0,0,4,Ki-10-I
ki_10_1_commander,0,0,4,Ki-10-I C
ki_10_2,0,0,4,Ki-10-II
ki_100_early,14000,55000,4,Ki-100
ki_102_otsu,36000,140000,4,Ki-102 otsu
ki_21_1ko,2900,700,4,Ki-21-Ia
ki_43_1,5900,6300,4,Ki-43-I
ki_43_2,7900,10000,4,Ki-43-II
ki_43_3_otsu,36000,140000,4,Ki-43-III otsu
ki_44_1,9200,22000,4,Ki-44-I
ki_44_2_hei,9200,22000,4,Ki-44-II hei
ki_61_1a_hei,50000,190000,4,Ki-61-I hei
ki_61_1a_ko,9200,22000,4,Ki-61-I ko
ki_61_1a_otsu,11000,38000,4,Ki-61-I otsu
ki_61_1a_tei,50000,190000,4,Ki-61-I tei
ki_61_2_early,70000,230000,4,Ki-61-II
ki_67_1_ko,50000,190000,4,Ki-67-I Ko
