ID,nothing,really,Name
a-26c,0,0,A-26C-45
a-26c-45-dt,0,0,A-26C-45DT
bf-109g-2_romania,0,0,Bf 109 G-2
bf-109e-7,0,0,Bf.109E-7/U2
boston_mk_1,0,0,Boston Mk.I
cr_32_bis,10usd,0,CR.32 bis
fiat_cr42_marcolin,250GE,Deutche,CR.42 CN Marcolin 
fiat_cr42,0,0,CR.42 Falco
d_520,0,0,D.520
d_521,0,0,D.521
db_7,0,0,DB-7
f7f3,0,0,F7F-3
fw-189a-1,0,0,Fw.189A-1
fiat_g50_seria2,0,0,G.50 series 2
fiat_g50_seria7as,0,0,G.50 series 7AS
gladiator_mk2_france,0,0,Gladiator Mk.IIF
gladiator_mk2_silver,0,0,Gladiator Mk.IIS
he_112b_2,0,0,He.112B-2/U2
he51b_2w,0,0,He.51B-2/H
he51c1_late,0,0,He.51C-1/L
he-162a-1,0,0,He-162 A-1
hs-129b-2_romania,0,0,Hs 129B-2 (Romania)
i_29,0,0,I-29
lagg-i-301,0,0,I-301
il-2m_mstitel,0,0,IL-2M Avenger
ki_10_2_commander,0,0,Ki-10-II
ki_21_1hei,0,0,Ki-21-I hei
ki_94_2,0,0,Ki-94 II
la_174,0,0,La-174
la-7_dolgushin,0,0,La-7 Dolgushin
lagg-3-23,0,0,LaGG-3-23
lagg-3-34,0,0,LaGG-3-34
lagg-3-4,0,0,LaGG-3-4
mc200_serie3,0,0,M.C.200 serie 3
mc200_serie7,0,0,M.C.200 series 7
mc-202,0,0,M.C.202
mbr-2,0,0,MBR-2
me-262a-2a,0,0,Me-262A-2a
fw-190a-8_france,0,0,N.C.900
n1k2_jko,0,0,N1K2-Ja
os2u_1,0,0,OS2U-1
os2u_3,0,0,OS2U-3
p-26a_34,0,0,P-26A-34
p-36a_rasmussen,0,0,P-36A Rasmussen
p-38j_marge,0,0,P-38J-15 Richard Bong
p-38k,0,0,P-38K
p-39n_su,0,0,P-39N-0 Airacobra Pokryshkin
p-39q_15,0,0,P-39Q-15
p-40c,0,0,P-40 C
p-43a-1,0,0,P-43A-1
p-51a_tl,0,0,P-51A
p-51d-10,0,0,P-51D-10
p-63a-10_ussr,0,0,P-63A-10
p-63c-5_ussr,0,0,P-63C-5
pe-2-205,0,0,Pe-2-205
po-2,0,0,Po-2
pv_2d,0,0,PV-2D Harpoon
sb_2m_103_mv3,0,0,SB 2M-103 MV-3
sb_2m_103u,0,0,SB 2M-103U
sm_79_1936,0,0,SM.79 1936
sm_79_1937,0,0,SM.79 1937
sm_79_1939,0,0,SM.79 1939
sm_79_1941,0,0,SM.79 1941
sm_79_iar,0,0,SM.79B
sm_79_1942,0,0,SM.79bis
sm_79_1943,0,0,SM.79bis/L
spitfire_ix_plagis,0,0,Spitfire LF. Mk IX Plagis
spitfire_ix_ussr,0,0,Spitfire Mk.IX
tb_3_m17_32,0,0,TB-3M-17-32
tu-2_early,0,0,Tu-2
typhoon_mk1b,20usd2000GE7prem,2,Typhoon Mk Ib
xf5f,0,0,XF5F Skyrocket
yak-3t,0,0,Yak-3T
yak-9m,0,0,Yak-9M
yak-9t_france,1700GE,FR,Yak-9T France
er-2_m105_tat,0,0,Yer-2 M-105 TAT
er-2_m105r_tat,0,0,Yer-2 M-105R TAT
p-63c-5_kingcobra_animal_version,0,0,P-63 C-5 Kingcobra Animal
spitfire_mk9c_4cannons,0,0,Spitfire Mk Ixc (4 Cannons)
tandem_mai,0,0,Tandem MAI
whirlwind_p9,0,0,Whirlwind P.9
f4u-4b_vmf_214,0,0,F4U-4B VMF 214
f4f-4_martlet_mk4,0,0,F4F Martlet Mk.IV
fj_4b_agm_12b,0,0,FJ-4B AGM-12B
