ID,Research,Lion,Country,Name
ussr_t_64a_1971,390000,1010000,2, T-64  (1971)
germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46,320000,790000,1,10.5cm Tiger II
uk_3_inch_gun_carrier,14000,55000,3,3 inch Gun Carrier
ussr_gaz_4m,2900,700,2,4M GAZ-AAA
ussr_gaz_mm_72k,7900,10000,2,72-K GAZ MM
us_halftrack_m3_75mm_gmc,5900,6300,0,75mm M3 GMC
germ_sdkfz_9_flak37,18000,77000,1,88 cm Flak 37 Sfl.
uk_a_13_mk1,0,0,3,A13 Mk.I
uk_a_13_mk2,2900,700,3,A13 Mk.II
uk_armored_car_mk_2_aa,9200,22000,3,AC Mk.II AA
uk_17_pdr_m10_achilles,26000,100000,3,Achilles
fr_amc_34,0,0,6,AMC.34 YR
fr_amc_35,5900,6300,6,AMC.35 (ACG.1)
fr_amr_35_zt3,2900,700,6,AMR.35 ZT3
fr_amx_m4,71000,310000,6,AMX M4
fr_amx_13_75,71000,310000,6,AMX-13
fr_amx_13_fl_11,14000,55000,6,AMX-13 (FL11)
fr_amx_13_hot,390000,1000000,6,AMX-13 (HOT)
fr_amx_13_dca_40,40000,150000,6,AMX-13 DCA 40
fr_amx_13_90,120000,300000,6,AMX-13-90
fr_amx_30_1972,210000,550000,6,AMX-30 (1972)
fr_amx_30_dca,210000,550000,6,AMX-30 DCA
fr_amx_30_b2,390000,1000000,6,AMX-30B2
fr_amx_50,95000,260000,6,AMX-50
fr_amx_50_foch,160000,390000,6,AMX-50 Foch
fr_amx_50_surbaisse,210000,550000,6,AMX-50 Surbaissé
uk_sp_17_pdr_valentine,14000,55000,3,Archer
fr_arl_44,63000,210000,6,ARL-44
fr_arl_44_acl1,18000,77000,6,ARL-44 (ACL-1)
ussr_asu_57,26000,100000,2,ASU-57
ussr_asu_85,95000,260000,2,ASU-85
uk_a30_sp_avenger,46000,170000,3,Avenger
fr_b1_bis,7900,10000,6,B1 bis
germ_begleitpanzer_57,390000,1010000,1,Begleitpanzer 57
ussr_bmp_1,320000,790000,2,BMP-1
ussr_bt_5,0,0,2,BT-5
ussr_bt_7_1937,2900,700,2,BT-7
ussr_btr_152a,11000,38000,2,BTR-152
fr_lorraine_100,71000,310000,6,CA Lorraine
uk_fv221_caernarvon,78000,230000,3,Caernarvon
fr_cckw_353_bofors,11000,38000,6,CCKW 353 AA
uk_centurion_mk_1,63000,210000,3,Centurion Mk.1
uk_centurion_mk_10,120000,300000,3,Centurion Mk.10
uk_centurion_mk_3,78000,230000,3,Centurion Mk.3
uk_a30_challenger,63000,210000,3,Challenger
uk_charioteer_mk_7,71000,310000,3,Charioteer Mk.VII
uk_chieftain_mk_10,390000,1010000,3,Chieftain Mk.10
uk_chieftain_mk_3,380000,990000,3,Chieftain Mk.3
uk_chieftain_mk_5,380000,990000,3,Chieftain Mk.5
jp_type_97_chi_ha,2900,700,4,Chi-Ha
jp_type_97_kai,4000,2100,4,Chi-Ha Kai
jp_type_1_chi_he,7900,10000,4,Chi-He
jp_type_3_chi_nu,14000,55000,4,Chi-Nu
jp_type_5_chi_ri,46000,170000,4,Chi-Ri II
jp_type_4_chi_to,33000,130000,4,Chi-To
jp_type_4_chi_to_late,40000,150000,4,Chi-To Late
uk_a_22_mk_1_churchill_1941,14000,55000,3,Churchill Mk.I
uk_a_22b_mk_3_churchill_1942,18000,77000,3,Churchill Mk.III
uk_a_22f_mk_7_churchill_1944,40000,150000,3,Churchill Mk.VII
germ_flakpanzer_V_Coelian,78000,230000,1,Coelian
uk_a_34_comet,54000,180000,3,Comet I
uk_conqueror_mk_2,380000,990000,3,Conqueror
uk_fv4004_conway,120000,300000,3,Conway
uk_a27m_cromwell_1,14000,55000,3,Cromwell I
uk_a27m_cromwell_5,9200,22000,3,Cromwell V
uk_crusader_aa_mk_1,54000,180000,3,Crusader AA Mk.I
uk_crusader_aa_mk_2,18000,77000,3,Crusader AA Mk.II
uk_crusader_mk_2,5900,6300,3,Crusader Mk.II
uk_crusader_mk_3,9200,22000,3,Crusader Mk.III
uk_daimler_mk_2,2900,700,3,Daimler AC Mk.II
germ_pzsfl_IVa_dickermax,33000,130000,1,Dicker Max
ussr_gaz_dshk,2900,700,2,DShK GAZ MM
uk_falcon,380000,990000,3,Falcon
fr_fcm_36,2900,700,6,FCM.36
germ_panzerjager_tiger_P_ferdinand,78000,230000,1,Ferdinand
germ_flakpanzer_I_ausf_A,4000,2100,1,Flakpanzer I
germ_flakpz_I_Gepard,380000,990000,1,FlakPz I Gepard
uk_fv4005,95000,260000,3,FV4005
uk_fv4202,71000,310000,3,FV4202
germ_flakpanzer_38t_Gepard,5900,6300,1,Gepard
fr_hotchkiss_h35,0,0,6,H.35
fr_hotchkiss_h39,4000,2100,6,H.39
jp_type_95_ha_go,0,0,4,Ha-Go
jp_type_2_ho_i,5900,6300,4,Ho-I
jp_type_3_ho_ni_I,5900,6300,4,Ho-Ni I
jp_type_3_ho_ni_III,7900,10000,4,Ho-Ni III
jp_type_5_ho_ri_production,95000,260000,4,Ho-Ri Production
