1,,,,,,,
0,GR,50,37,gr_bk5_50mm_37mm,BK 5,BK 37,
1,GR,37,37,gr_bk37_x2_37mm,BK 37,,
2,GR,75,37,gr_bk75_75mm,BK 75,,
2,IT,102,37,gr_bk75_75mm,Pasta Cannon,,
3,GR,7.92,7,gr_mg15_792mm,MG 15,,
3,JP,7.92,7,gr_mg15_792mm,Type 92,Type 98,
4,GR,7.92,7,gr_mg17_792mm,MG 17,,
5,GR,7.92,7,gr_mg81_792mm,MG 81,,
6,GR,13,12,gr_mg131_13mm,MG 131,,
7,GR,15,12,gr_mg151_15mm,MG 151,,
7,GR,20,20,gr_mg151_15mm,MG 151/20,,
8,GR,20,20,gr_mgff_20mm,MG FF,,
9,GR,30,30,gr_mk103_30mm,MK 103,,
9,JP,30,30,gr_mk103_30mm,Type 5,Ho 155,
10,GR,30,30,gr_mk108_30mm,MK 108,,
11,GR,50,37,gr_mk214_50mm,MK 214A,,
12,IT,7.7,7,it_breda_safat_77mm,Breda Safat,,
13,IT,7.7,7,it_louis_77mm,Louis,,
13,JP,7.7,7,it_louis_77mm,Type 89,,
14,IT,12.7,12,it_breda_safat_127mm,Breda Safat,,
14,JP,12.7,12,it_breda_safat_127mm,Ho 103,,
15,JP,20,20,jp_ho5_20mm,Ho 5,Type 99,
16,JP,57,37,jp_ho401_57mm,Ho 401,,
17,UK,7.7,7,uk_browning_77mm,Browning,,
18,UK,7.7,7,uk_vickers_e_77mm,Vickers E,,
18,JP,7.7,7,uk_vickers_e_77mm,Type 97,,
19,UK,20,20,uk_hispano_20mm,Hispano,,
20,UK,40,37,uk_vickers_40mm,Vickers,,
20,UK,47,37,uk_vickers_47mm,Vickers,,
21,UK,57,37,uk_molins_57mm,Molins,,
22,US,7.62,7,us_m1_762mm,M1 Browning,,
23,US,12.7,12,us_fmc_t_160_127mm,FMC T-160,,
24,US,12.7,12,us_m2_127mm,M2 Browning,,
25,US,12.7,12,us_m3_127mm,M3 Browning,,
26,US,20,20,us_m2_20mm,M2 Browning,,
27,US,20,20,us_m3_20mm,M3 Browning,,
28,US,37,37,us_jp_37mm,M4 Browning,M 10 Browning,
28,JP,37,37,us_jp_37mm,Type 94,,
29,US,75,37,us_t13e1_75mm,T13E1,,
30,USSR,7.62,7,ussr_shkas_762mm,ShKAS,,
31,USSR,12.7,12,ussr_berezhinub_127mm,Berezin UB,,
32,USSR,20,20,ussr_20mm,B-20,,
33,USSR,20,20,ussr_shvak_20mm,ShVAK,,
34,USSR,23,20,ussr_23mm,NR 23,NS 23,YVA 23
35,USSR,30,30,ussr_n37d_30mm,N37D,,
36,USSR,37,37,ussr_ns37_37mm,NS 37,,
37,USSR,45,37,ussr_ns45_45mm,NS 45,,
